id,分类,名称,图标链接,图标路径
1,属性,普通,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,images/icons/attributes/普通.png
2,属性,草,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,images/icons/attributes/草.png
3,属性,火,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,images/icons/attributes/火.png
4,属性,水,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,images/icons/attributes/水.png
5,属性,光,https://patchwiki.biligame.com/images/rocom/d/de/pxfi7cg0j94c45uxf4itigu90wis7jr.png,images/icons/attributes/光.png
6,属性,地,https://patchwiki.biligame.com/images/rocom/3/32/0w5pybmkd8qm306doqx8kh5onl1o8cq.png,images/icons/attributes/地.png
7,属性,冰,https://patchwiki.biligame.com/images/rocom/9/9b/oxnxxud1xhopw87c7mnawxijz8r1hns.png,images/icons/attributes/冰.png
8,属性,龙,https://patchwiki.biligame.com/images/rocom/6/65/kgcg0hvl19o7up0ug8f42bbvhi71dke.png,images/icons/attributes/龙.png
9,属性,电,https://patchwiki.biligame.com/images/rocom/0/02/iqzkamzcra945jsw5z6o8h9p30fv7db.png,images/icons/attributes/电.png
10,属性,毒,https://patchwiki.biligame.com/images/rocom/5/53/jnd3vijasgthdz2ukggyfpisd464r2v.png,images/icons/attributes/毒.png
11,属性,虫,https://patchwiki.biligame.com/images/rocom/c/cb/q3mlwj270f67spwr934hpqx7hj62bm3.png,images/icons/attributes/虫.png
12,属性,武,https://patchwiki.biligame.com/images/rocom/5/52/q9hbq9nrnhjt7t86hy7sftv3e2e5fvx.png,images/icons/attributes/武.png
13,属性,翼,https://patchwiki.biligame.com/images/rocom/2/2b/p7wdw88ziupp84s1mr8t9t602psswzz.png,images/icons/attributes/翼.png
14,属性,萌,https://patchwiki.biligame.com/images/rocom/5/5f/80jhk99eosjv1ld26wp7ljtmif27lfv.png,images/icons/attributes/萌.png
15,属性,幽,https://patchwiki.biligame.com/images/rocom/e/e7/ttqdi3zlz72g5dgmc8qg9ko4aorwllw.png,images/icons/attributes/幽.png
16,属性,恶,https://patchwiki.biligame.com/images/rocom/3/3b/hrdmz7n0qt3bnmir9fdn7977fvleec0.png,images/icons/attributes/恶.png
17,属性,机械,https://patchwiki.biligame.com/images/rocom/a/ad/fw81a2pvdickbcnq5rt17m6066cchcf.png,images/icons/attributes/机械.png
18,属性,幻,https://patchwiki.biligame.com/images/rocom/6/64/89miqle961qdw2tt56hb78bps6f34ci.png,images/icons/attributes/幻.png
19,资质,生命,https://patchwiki.biligame.com/images/rocom/e/ed/rfqxotz8a6bc191pnptosnzz181ip15.png,images/icons/stats/生命.png
20,资质,物攻,https://patchwiki.biligame.com/images/rocom/d/df/rdvhl7nsw1gj29d48wcjloi4y3xhzdk.png,images/icons/stats/物攻.png
21,资质,魔攻,https://patchwiki.biligame.com/images/rocom/1/1b/6255y4dccq0pmend1pc3sox2gyovcd5.png,images/icons/stats/魔攻.png
22,资质,物防,https://patchwiki.biligame.com/images/rocom/3/32/cc56itb7czojkc512jueeibn3zszt9n.png,images/icons/stats/物防.png
23,资质,魔防,https://patchwiki.biligame.com/images/rocom/5/56/n4t3dl0pg52x4ganmu4uzhyozdrqby4.png,images/icons/stats/魔防.png
24,资质,速度,https://patchwiki.biligame.com/images/rocom/3/3e/70p98qwsx7ci9r8anz02srvlr1if8c0.png,images/icons/stats/速度.png
25,资质,种族,https://patchwiki.biligame.com/images/rocom/3/3e/2aysxyrwsdpd8evk42l3x4tb2ebpvy9.png,images/icons/stats/种族.png
