id,技能名称,页面标题,描述,效果,耗能,属性,威力,技能类别,技能版本,页面链接
1,一拳,一拳,,对敌方精灵造成物理伤害。,5,武,140,物攻,0.1,https://wiki.biligame.com/rocom/%E4%B8%80%E6%8B%B3
2,三连破,三连破,,自己获得物攻+30%，3连击。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%B8%89%E8%BF%9E%E7%A0%B4
3,三鼓作气,三鼓作气,,提升自身30%物攻，3连击。,3,普通,,状态,,https://wiki.biligame.com/rocom/%E4%B8%89%E9%BC%93%E4%BD%9C%E6%B0%94
4,不动如山,不动如山,S2赛季调整：&nbsp;技能能耗2，减伤90%，应对攻击。一应对攻击:自身物攻+50%,减伤90%，应对攻击：自身物攻+50％。,2,地,0,防御,0.2,https://wiki.biligame.com/rocom/%E4%B8%8D%E5%8A%A8%E5%A6%82%E5%B1%B1
5,不可接触,不可接触,老师干叮咛万嘱咐，给精灵使用毒系秘药的时候，记得带好口罩手套。,减伤50%，敌方每有1层中毒效果，本技能减伤+10%，应对攻击。,1,毒,0,防御,0.1,https://wiki.biligame.com/rocom/%E4%B8%8D%E5%8F%AF%E6%8E%A5%E8%A7%A6
6,丢冰块,丢冰块,,造成物伤，敌方获得速度-30。,3,冰,90,物攻,0.1,https://wiki.biligame.com/rocom/%E4%B8%A2%E5%86%B0%E5%9D%97
7,丰饶,丰饶,“信我！白树真的没有死，她仍然在喂养我们！”,自己获得物攻和魔攻+140%。,3,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%B8%B0%E9%A5%B6
8,主场优势,主场优势,,自己获得1层攻击印记。,3,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%B8%BB%E5%9C%BA%E4%BC%98%E5%8A%BF
9,主轴,主轴,,造成物伤，此技能位置不会改变。,2,机械,75,物攻,0.1,https://wiki.biligame.com/rocom/%E4%B8%BB%E8%BD%B4
10,乘胜追击,乘胜追击,“怎么又来了？”,造成物伤，1连击，每次使用后，本技能连击数永久+1。,2,普通,40,物攻,0.1,https://wiki.biligame.com/rocom/%E4%B9%98%E8%83%9C%E8%BF%BD%E5%87%BB
11,乘风,乘风,,自己获得速度+120。,2,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%B9%98%E9%A3%8E
12,乱打,乱打,无招胜有招。,造成魔伤，5连击。,4,普通,25,魔攻,0.1,https://wiki.biligame.com/rocom/%E4%B9%B1%E6%89%93
13,二律背反,二律背反,,敌方获得3层星陨印记，应对防御：额外使敌方星陨印记层数翻倍。,4,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%BA%8C%E5%BE%8B%E8%83%8C%E5%8F%8D
14,交叉闪电,交叉闪电,,对敌方精灵造成物理伤害。,3,电,100,物攻,0.1,https://wiki.biligame.com/rocom/%E4%BA%A4%E5%8F%89%E9%97%AA%E7%94%B5
15,仙人掌刺击,仙人掌刺击,,对敌方精灵造成物理伤害。,6,草,150,物攻,0.1,https://wiki.biligame.com/rocom/%E4%BB%99%E4%BA%BA%E6%8E%8C%E5%88%BA%E5%87%BB
16,以毒攻毒,以毒攻毒,,敌方每有1层中毒效果，自己获得魔攻+30%。,1,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%BB%A5%E6%AF%92%E6%94%BB%E6%AF%92
17,以重制重,以重制重,,造成物伤，敌方体重越高，本次技能威力越高。,3,普通,0,物攻,0.1,https://wiki.biligame.com/rocom/%E4%BB%A5%E9%87%8D%E5%88%B6%E9%87%8D
18,休息回复,休息回复,,自己回复30%生命。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%BC%91%E6%81%AF%E5%9B%9E%E5%A4%8D
19,传感器,传感器,,造成物伤，2连击，本技能位于1号或3号位时连击+1，传动1。,1,机械,20,物攻,0.1,https://wiki.biligame.com/rocom/%E4%BC%A0%E6%84%9F%E5%99%A8
20,伪造账单,伪造账单,,若敌方本回合回复生命，改为失去2倍。先手+1。,1,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%BC%AA%E9%80%A0%E8%B4%A6%E5%8D%95
21,伺机而动,伺机而动,,下一次攻击时，技能威力+70。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E4%BC%BA%E6%9C%BA%E8%80%8C%E5%8A%A8
22,俯冲,俯冲,,造成物伤，先手+1。,7,翼,170,物攻,0.1,https://wiki.biligame.com/rocom/%E4%BF%AF%E5%86%B2
23,俯冲猛击,俯冲猛击,,对敌方精灵造成物理伤害。,5,翼,140,物攻,0.1,https://wiki.biligame.com/rocom/%E4%BF%AF%E5%86%B2%E7%8C%9B%E5%87%BB
24,借用,借用,,每回合随机变成己方队伍中其他精灵的技能。,0,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%80%9F%E7%94%A8
25,倾泻,倾泻,,造成魔伤，若本次攻击未被防御技能应对，则驱散双方所有印记。,3,普通,70,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%80%BE%E6%B3%BB
26,假冒,假冒,,自己的生命比例变为与敌方生命比例相同，巧变：恶系攻击技能。,2,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%81%87%E5%86%92
27,假寐,假寐,研究手记：我在巢中坠入无光之梦，听见黑暗深处传来虫群的轰鸣。,自己回复2能量，己方队伍获得1次奉献：能耗-2。,2,虫,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%81%87%E5%AF%90
28,偷师,偷师,,造成物伤，自己回复1能量。,0,幻,30,物攻,0.1,https://wiki.biligame.com/rocom/%E5%81%B7%E5%B8%88
29,偷袭,偷袭,,造成物伤，应对状态：本次技能威力变为3倍。,3,普通,85,物攻,0.1,https://wiki.biligame.com/rocom/%E5%81%B7%E8%A2%AD
30,充分燃烧,充分燃烧,,使敌方身上的灼烧翻倍，并触发1次灼烧伤害。,3,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%85%85%E5%88%86%E7%87%83%E7%83%A7
31,先发制人,先发制人,,造成物理伤害，先手+1。,2,普通,55,物攻,0.1,https://wiki.biligame.com/rocom/%E5%85%88%E5%8F%91%E5%88%B6%E4%BA%BA
32,光之矛,光之矛,,造成物伤，3连击。,3,光,30,物攻,0.1,https://wiki.biligame.com/rocom/%E5%85%89%E4%B9%8B%E7%9F%9B
33,光刃,光刃,高能量的离子束，一不小心就会划伤皮肤，让粗心的研究员深受其害。,对敌方精灵造成物理伤害。,4,光,120,物攻,0.1,https://wiki.biligame.com/rocom/%E5%85%89%E5%88%83
