id,spirit_id,蛋组,编号,精灵名称
1,2,无法孵蛋,001,迪莫
2,228,无法孵蛋,150,里奥
3,229,无法孵蛋,151,灵羽勇士
4,231,无法孵蛋,152,圣羽翼王
5,424,无法孵蛋,293,小帕尔
6,425,无法孵蛋,294,帕尔萨斯
7,426,无法孵蛋,295,龙息帕尔
8,438,无法孵蛋,307,绒绒
9,439,无法孵蛋,308,小绒茧
10,440,无法孵蛋,309,绒仙子
11,441,无法孵蛋,310,犀角鸟
12,442,无法孵蛋,311,光纤兽
13,443,无法孵蛋,312,疾光千兽
14,3,动物组,002,喵喵
15,4,动物组,003,喵呜
16,6,动物组,004,魔力猫
17,28,动物组,015,锥尾羊
18,29,动物组,016,铃兰羊
19,30,动物组,017,花影羚羊
20,67,动物组,036,小鼠獭
21,68,动物组,037,燕尾獭
22,69,动物组,038,卷胡巨獭
23,94,动物组,047,护主犬
24,95,动物组,048,音速犬
25,97,动物组,049,绿耳松鼠
26,98,动物组,050,抱枕松鼠
27,99,动物组,051,蹦床松鼠
28,112,动物组,060,伏地兽
29,113,动物组,061,贪食鼹
30,114,动物组,062,巨噬针鼹
31,128,动物组,066,电咩咩
32,129,动物组,067,粉咩咩
33,130,动物组,068,电球咩咩
34,146,动物组,080,小星光（星光能量的样子）
35,147,动物组,080,小星光（月光能量的样子）
36,148,动物组,081,星光狮（星光能量的样子）
37,149,动物组,081,星光狮（月光能量的样子）
38,187,动物组,116,小独角兽
39,189,动物组,117,白金独角兽
40,196,动物组,121,小黑猫
41,198,动物组,122,黑猫巫师
42,199,动物组,123,忽幽狸
43,200,动物组,124,影狸
44,207,动物组,131,恶魔狼
45,214,动物组,137,呼呼猪
46,215,动物组,138,獠牙猪
47,225,动物组,147,灵狐
48,226,动物组,148,九尾狐
49,227,动物组,149,尖嘴狐仙
50,233,动物组,153,松仔
51,235,动物组,154,松叶羊
52,237,动物组,155,针叶巡林
53,239,动物组,156,小勇狮
54,241,动物组,157,炽焰狮
55,243,动物组,158,炽心勇狮
56,252,动物组,163,小怂猫
57,254,动物组,164,怒目怂猫
58,255,动物组,165,小狮鹫（崖间地的样子）
59,256,动物组,165,小狮鹫（高山地的样子）
60,257,动物组,166,神圣狮鹫（崖间地的样子）
61,258,动物组,166,神圣狮鹫（高山地的样子）
62,259,动物组,167,皇家狮鹫（崖间地的样子）
63,260,动物组,167,皇家狮鹫（高山地的样子）
64,277,动物组,181,海豹战士
65,278,动物组,182,海豹船长
66,295,动物组,193,奔波鼠
67,296,动物组,194,流浪鼠
68,297,动物组,195,呆小路
69,298,动物组,196,舞动路路
70,299,动物组,197,白发路路
71,300,动物组,198,逗逗
72,301,动物组,199,气球猫
73,303,动物组,200,梦想三三
74,318,动物组,212,古钟蛇（本来的样子）
75,321,动物组,213,寒音蛇（本来的样子）
76,337,动物组,226,电动长颈鹿
77,338,动物组,227,奔乐鹿
78,340,动物组,228,爵士鹿
79,370,动物组,246,裘洛
80,371,动物组,247,裘力
81,372,动物组,248,裘卡
82,379,动物组,255,治愈兔
83,380,动物组,256,红丝绒
84,381,动物组,257,红绒十字
85,397,动物组,270,优优
86,398,动物组,271,绒光优优
87,404,动物组,277,地鼠（储水期的样子）
88,405,动物组,277,地鼠（枯水期的样子）
89,406,动物组,278,遁鼠（储水期的样子）
90,407,动物组,278,遁鼠（枯水期的样子）
91,408,动物组,279,遁地鼠（储水期的样子）
92,409,动物组,279,遁地鼠（枯水期的样子）
93,453,动物组,322,月牙雪熊
94,471,动物组,340,火红尾
95,472,动物组,341,雅丹鬃
96,473,动物组,342,春团
97,474,动物组,343,春兔
98,475,动物组,344,春花兔
99,3,拟人组,002,喵喵
100,4,拟人组,003,喵呜
101,6,拟人组,004,魔力猫
102,135,拟人组,073,白发懒人
103,136,拟人组,074,动力猿
104,137,拟人组,075,瞌睡王
105,154,拟人组,085,小夜
106,155,拟人组,086,紫夜
107,156,拟人组,087,朔夜伊芙
108,162,拟人组,093,绿草精灵
109,163,拟人组,094,魔草巫灵
110,168,拟人组,099,小草虫
111,169,拟人组,100,草衣虫
112,170,拟人组,101,花衣蝶
113,199,拟人组,123,忽幽狸
114,200,拟人组,124,影狸
115,201,拟人组,125,多多
116,202,拟人组,126,多啦多
117,203,拟人组,127,古啦多
118,211,拟人组,134,雪豆丁
119,212,拟人组,135,雪蛮人
120,213,拟人组,136,雪巨人
121,219,拟人组,142,大耳帽兜
122,220,拟人组,143,帽兜娃娃
123,222,拟人组,144,雪影娃娃
124,252,拟人组,163,小怂猫
125,254,拟人组,164,怒目怂猫
126,295,拟人组,193,奔波鼠
127,296,拟人组,194,流浪鼠
128,297,拟人组,195,呆小路
129,298,拟人组,196,舞动路路
130,299,拟人组,197,白发路路
131,373,拟人组,249,可爱猿
132,374,拟人组,250,炽热猿
133,375,拟人组,251,火焰猿
134,390,拟人组,263,机械方方
135,391,拟人组,264,多彩方方
136,392,拟人组,265,立方人
137,393,拟人组,266,可立鸡
138,394,拟人组,267,晕晕鸡
139,395,拟人组,268,绅士鸡
140,396,拟人组,269,武者鸡
141,422,拟人组,291,厉毒小萝
142,423,拟人组,292,厉毒修萝
143,7,巨灵组,005,火花
144,8,巨灵组,006,焰火
145,9,巨灵组,007,火神
146,53,巨灵组,027,布是石
147,54,巨灵组,028,布是岩
148,55,巨灵组,029,布克棱岩
149,135,巨灵组,073,白发懒人
150,136,巨灵组,074,动力猿
151,137,巨灵组,075,瞌睡王
152,138,巨灵组,076,海盔虫（本来的样子）
153,139,巨灵组,076,海盔虫（磨损的样子）
154,140,巨灵组,077,刺盔虫（本来的样子）
155,141,巨灵组,077,刺盔虫（磨损的样子）
156,143,巨灵组,078,千棘盔（本来的样子）
157,144,巨灵组,078,千棘盔（磨损的样子）
158,174,巨灵组,105,阿米亚特
159,175,巨灵组,106,阿米樱
160,176,巨灵组,107,罗隐
161,187,巨灵组,116,小独角兽
162,189,巨灵组,117,白金独角兽
163,211,巨灵组,134,雪豆丁
164,212,巨灵组,135,雪蛮人
165,213,巨灵组,136,雪巨人
166,300,巨灵组,198,逗逗
167,301,巨灵组,199,气球猫
168,303,巨灵组,200,梦想三三
169,322,巨灵组,214,矮脚爬爬
170,323,巨灵组,215,恶魔红钻
171,324,巨灵组,216,火尾瓦特
172,325,巨灵组,217,火尾战士
173,326,巨灵组,218,烈火守护
174,332,巨灵组,221,多西
175,333,巨灵组,222,库多西
176,334,巨灵组,223,波多西
177,373,巨灵组,249,可爱猿
178,374,巨灵组,250,炽热猿
179,375,巨灵组,251,火焰猿
180,382,巨灵组,258,乌达（极夜的样子）
181,383,巨灵组,258,乌达（极昼的样子）
182,384,巨灵组,259,迷你乌（极夜的样子）
