id,spirit_id,skill_id,技能名,技能来源,解锁等级
1,606,8,主场优势,技能石,
2,606,64,加大功率,技能石,
3,606,76,取念,技能石,
4,606,111,天光,技能石,
5,606,195,晒太阳,技能石,
6,606,212,棘刺,技能石,
7,606,244,泥巴喷射,技能石,
8,606,249,流沙,技能石,
9,606,351,耀眼,技能石,
10,606,374,蓄势待发,技能石,
11,606,444,镜像反射,技能石,
12,606,450,防反,技能石,
13,606,496,麻痹,技能石,
14,606,18,休息回复,血脉,
15,606,27,假寐,血脉,
16,606,68,升龙咆哮,血脉,
17,606,132,引燃,血脉,
18,606,139,徒长,血脉,
19,606,160,扬沙,血脉,
20,606,217,毒孢子,血脉,
21,606,273,灵媒,血脉,
22,606,296,球状闪电,血脉,
23,606,297,甜心续航,血脉,
24,606,346,羽化加速,血脉,
25,606,375,蓄水,血脉,
26,606,391,虹光冲击,血脉,
27,606,404,贪婪,血脉,
28,606,406,贯手,血脉,
29,606,413,超维投射,血脉,
30,606,435,金属噪音,血脉,
31,606,468,霜降,血脉,
32,606,35,光球,默认,1
33,606,73,双联脉冲,默认,32
34,606,106,增程电池,默认,35
35,606,184,放晴,默认,48
36,606,301,电流,默认,1
37,606,302,电磁偏转,默认,24
38,606,303,电离爆破,默认,27
39,606,363,色散,默认,22
40,606,373,落雷,默认,39
41,606,409,超导,默认,5
42,606,417,踏雷,默认,40
43,606,421,远程访问,默认,11
44,606,451,防御,默认,16
45,150,24,借用,技能石,
46,150,25,倾泻,技能石,
47,150,63,加固,技能石,
48,150,142,快速移动,技能石,
49,150,175,掠夺,技能石,
50,150,180,撕咬,技能石,
51,150,201,有效预防,技能石,
52,150,285,热身运动,技能石,
53,150,305,疾风刺,技能石,
54,150,308,瘴气喷射,技能石,
55,150,339,精神扰乱,技能石,
56,150,361,腐化,技能石,
57,150,381,虫击,技能石,
58,150,422,连续毒针,技能石,
59,150,426,追打,技能石,
60,150,451,防御,技能石,
61,150,494,鸩毒,技能石,
62,150,55,冷风,血脉,
63,150,68,升龙咆哮,血脉,
64,150,123,尾后针,血脉,
65,150,128,幻象,血脉,
66,150,150,恶能量,血脉,
67,150,160,扬沙,血脉,
68,150,169,拍击,血脉,
69,150,191,星云漩涡,血脉,
70,150,218,毒沼,血脉,
71,150,242,泡沫,血脉,
72,150,266,火焰冲锋,血脉,
73,150,296,球状闪电,血脉,
74,150,329,离子震荡,血脉,
75,150,343,缠丝劲,血脉,
76,150,365,花香,血脉,
77,150,391,虹光冲击,血脉,
78,150,488,魅惑,血脉,
79,150,495,鹰爪,血脉,
80,150,11,乘风,默认,22
81,150,155,扇风,默认,25
82,150,172,捆缚,默认,13
83,150,346,羽化加速,默认,28
84,150,349,翅刃,默认,47
85,150,350,翼击,默认,33
86,150,368,草虫冲击,默认,26
87,150,384,虫网,默认,1
88,150,385,虫群,默认,36
89,150,387,虫群过境,默认,34
90,150,388,虫茧,默认,3
91,150,390,虫鸣,默认,7
92,150,476,风矢,默认,20
93,150,489,魔法增效,默认,1
94,150,492,鸣叫,默认,1
95,150,502,龙卷风,默认,49
96,470,11,乘风,技能石,
97,470,18,休息回复,技能石,
98,470,24,借用,技能石,
99,470,76,取念,技能石,
100,470,98,地刺,技能石,
101,470,108,复写,技能石,
102,470,142,快速移动,技能石,
103,470,155,扇风,技能石,
104,470,260,漫反射,技能石,
105,470,313,石肤术,技能石,
106,470,465,震击,技能石,
107,470,493,鸣沙陷阱,技能石,
108,470,502,龙卷风,技能石,
109,470,55,冷风,血脉,
110,470,68,升龙咆哮,血脉,
111,470,123,尾后针,血脉,
112,470,143,念力膨胀,血脉,
113,470,192,星星撞击,血脉,
114,470,218,毒沼,血脉,
115,470,270,火爪,血脉,
116,470,273,灵媒,血脉,
117,470,325,磁干扰,血脉,
118,470,329,离子震荡,血脉,
119,470,355,肥皂泡,血脉,
120,470,367,荆棘爪,血脉,
121,470,391,虹光冲击,血脉,
122,470,406,贯手,血脉,
123,470,416,跺地,血脉,
124,470,476,风矢,血脉,
125,470,488,魅惑,血脉,
126,470,497,黑手,血脉,
127,470,10,乘胜追击,默认,45
128,470,13,二律背反,默认,38
129,470,28,偷师,默认,4
130,470,29,偷袭,默认,31
131,470,62,力量增效,默认,1
132,470,72,双星,默认,33
133,470,141,心灵洞悉,默认,34
134,470,193,星轨裂变,默认,26
135,470,333,空间压迫,默认,23
136,470,338,粒子对撞,默认,1
137,470,401,许愿星,默认,5
138,470,411,超新星馈赠,默认,30
139,470,451,防御,默认,12
140,82,76,取念,技能石,
141,82,103,垂死反击,技能石,
142,82,123,尾后针,技能石,
143,82,126,岩脉崩毁,技能石,
144,82,178,摇篮曲,技能石,
145,82,195,晒太阳,技能石,
146,82,285,热身运动,技能石,
147,82,381,虫击,技能石,
148,82,386,虫群智慧,技能石,
149,82,423,连续爪击,技能石,
150,82,440,钧势,技能石,
151,82,451,防御,技能石,
152,82,490,魔爪,技能石,
153,82,47,冰爪,血脉,
154,82,68,升龙咆哮,血脉,
155,82,94,噬心,血脉,
156,82,150,恶能量,血脉,
157,82,191,星云漩涡,血脉,
158,82,211,械斗,血脉,
159,82,218,毒沼,血脉,
160,82,242,泡沫,血脉,
161,82,266,火焰冲锋,血脉,
162,82,273,灵媒,血脉,
163,82,294,猛烈撞击,血脉,
164,82,296,球状闪电,血脉,
165,82,324,碰爪,血脉,
166,82,343,缠丝劲,血脉,
167,82,367,荆棘爪,血脉,
168,82,416,跺地,血脉,
169,82,430,透射,血脉,
170,82,476,风矢,血脉,
171,82,7,丰饶,默认,24
172,82,62,力量增效,默认,1
173,82,98,地刺,默认,44
174,82,112,天旋地转,默认,31
175,82,116,孢子爆散,默认,34
176,82,118,富养化,默认,16
177,82,167,抽枝,默认,48
178,82,310,盛开,默认,33
179,82,313,石肤术,默认,9
180,82,337,筛管奔流,默认,11
181,82,371,落石,默认,1
182,82,465,震击,默认,8
183,82,472,顶端优势,默认,21
184,84,29,偷袭,技能石,
185,84,76,取念,技能石,
186,84,103,垂死反击,技能石,
187,84,123,尾后针,技能石,
188,84,178,摇篮曲,技能石,
189,84,195,晒太阳,技能石,
190,84,332,移花接木,技能石,
191,84,339,精神扰乱,技能石,
192,84,352,聒噪,技能石,
193,84,381,虫击,技能石,
194,84,386,虫群智慧,技能石,
195,84,423,连续爪击,技能石,
196,84,490,魔爪,技能石,
197,84,47,冰爪,血脉,
198,84,68,升龙咆哮,血脉,
199,84,94,噬心,血脉,
200,84,150,恶能量,血脉,
201,84,191,星云漩涡,血脉,
202,84,211,械斗,血脉,
203,84,218,毒沼,血脉,
204,84,242,泡沫,血脉,
205,84,266,火焰冲锋,血脉,
206,84,273,灵媒,血脉,
207,84,294,猛烈撞击,血脉,
208,84,296,球状闪电,血脉,
209,84,324,碰爪,血脉,
210,84,343,缠丝劲,血脉,
211,84,367,荆棘爪,血脉,
212,84,416,跺地,血脉,
213,84,430,透射,血脉,
214,84,476,风矢,血脉,
215,84,7,丰饶,默认,33
216,84,8,主场优势,默认,23
217,84,62,力量增效,默认,1
218,84,112,天旋地转,默认,12
219,84,116,孢子爆散,默认,31
220,84,118,富养化,默认,17
221,84,167,抽枝,默认,39
222,84,212,棘刺,默认,6
223,84,310,盛开,默认,40
224,84,337,筛管奔流,默认,1
225,84,377,藤绞,默认,21
226,84,451,防御,默认,1
227,84,472,顶端优势,默认,5
228,85,45,冰晶坠,技能石,
229,85,76,取念,技能石,
230,85,103,垂死反击,技能石,
231,85,118,富养化,技能石,
232,85,123,尾后针,技能石,
233,85,178,摇篮曲,技能石,
234,85,195,晒太阳,技能石,
235,85,285,热身运动,技能石,
236,85,381,虫击,技能石,
237,85,386,虫群智慧,技能石,
238,85,423,连续爪击,技能石,
239,85,451,防御,技能石,
240,85,490,魔爪,技能石,
241,85,47,冰爪,血脉,
242,85,68,升龙咆哮,血脉,
243,85,94,噬心,血脉,
244,85,150,恶能量,血脉,
245,85,191,星云漩涡,血脉,
246,85,211,械斗,血脉,
247,85,218,毒沼,血脉,
248,85,242,泡沫,血脉,
249,85,266,火焰冲锋,血脉,
250,85,273,灵媒,血脉,
251,85,294,猛烈撞击,血脉,
252,85,296,球状闪电,血脉,
253,85,324,碰爪,血脉,
254,85,343,缠丝劲,血脉,
255,85,367,荆棘爪,血脉,
256,85,416,跺地,血脉,
257,85,430,透射,血脉,
258,85,476,风矢,血脉,
259,85,7,丰饶,默认,11
260,85,39,冬至,默认,40
261,85,44,冰捆缚,默认,3
262,85,51,冰锥,默认,1
263,85,52,冰雹,默认,34
264,85,62,力量增效,默认,1
265,85,112,天旋地转,默认,26
266,85,116,孢子爆散,默认,33
267,85,167,抽枝,默认,37
268,85,199,暴风雪,默认,17
269,85,310,盛开,默认,28
270,85,337,筛管奔流,默认,1
271,85,431,速冻,默认,23
272,85,472,顶端优势,默认,4
273,386,21,伺机而动,技能石,
274,386,61,力量吞噬,技能石,
275,386,74,反击拳,技能石,
276,386,108,复写,技能石,
277,386,127,崩拳,技能石,
278,386,142,快速移动,技能石,
279,386,177,提气,技能石,
280,386,223,气势一击,技能石,
281,386,285,热身运动,技能石,
282,386,414,跌落,技能石,
283,386,423,连续爪击,技能石,
284,386,451,防御,技能石,
285,386,476,风矢,技能石,
286,386,47,冰爪,血脉,
287,386,68,升龙咆哮,血脉,
288,386,94,噬心,血脉,
289,386,150,恶能量,血脉,
290,386,191,星云漩涡,血脉,
291,386,192,星星撞击,血脉,
292,386,211,械斗,血脉,
293,386,218,毒沼,血脉,
294,386,242,泡沫,血脉,
295,386,266,火焰冲锋,血脉,
296,386,273,灵媒,血脉,
297,386,296,球状闪电,血脉,
298,386,324,碰爪,血脉,
299,386,343,缠丝劲,血脉,
300,386,365,花香,血脉,
301,386,416,跺地,血脉,
302,386,430,透射,血脉,
303,386,495,鹰爪,血脉,
