id,spirit_id,精灵类型
1,606,迪斯科精灵
2,150,蜂精灵
3,82,舔舔精灵
4,83,舔舔精灵
5,84,舔舔精灵
6,85,舔舔精灵
7,386,恶作剧精灵
8,387,恶作剧精灵
9,382,恶作剧精灵
10,383,恶作剧精灵
11,157,天鹅精灵
12,226,狐精灵
13,272,菇精灵
14,435,书卷精灵
15,434,书卷精灵
16,183,遗迹精灵
17,184,遗迹精灵
18,185,遗迹精灵
19,307,水龙精灵
20,308,水龙精灵
21,133,毛绒绒精灵
22,134,毛绒绒精灵
23,306,水龙精灵
24,112,食蚁兽精灵
25,397,狐獴精灵
26,442,月光精灵
27,250,公平精灵
28,111,小花种精灵
29,35,鸟仔精灵
30,36,鸟仔精灵
31,37,鸟仔精灵
32,38,鸟仔精灵
33,217,守望精灵
34,378,章鱼精灵
35,482,平凡精灵
36,484,非凡精灵
37,452,狂乱精灵
38,312,负电精灵
39,140,刺刺精灵
40,141,刺刺精灵
41,359,小鱼精灵
42,360,小鱼精灵
43,491,海葵精灵
44,492,螃蟹精灵
45,136,睡不醒精灵
46,61,蝶精灵
47,62,蝶精灵
48,63,蝶精灵
49,64,蝶精灵
50,522,刺刺精灵
51,142,刺刺精灵
52,143,刺刺精灵
53,144,刺刺精灵
54,86,舔舔精灵
55,87,舔舔精灵
56,88,舔舔精灵
57,89,舔舔精灵
58,283,守护精灵
59,90,蜥蜴精灵
60,91,蜥蜴精灵
61,92,蜥蜴精灵
62,93,蜥蜴精灵
63,276,健身精灵
64,69,优雅精灵
65,423,毛绒绒精灵
66,422,毛绒绒精灵
67,451,小鱼精灵
68,437,守望精灵
69,436,智慧精灵
70,203,帽帽精灵
71,316,拨浪鼓精灵
72,317,拨浪鼓精灵
73,318,拨浪鼓精灵
74,58,恶作剧精灵
75,373,猿精灵
76,393,鸡仔精灵
77,5,草之灵
78,279,小号精灵
79,418,贪吃精灵
80,297,蛋壳精灵
81,214,圆滚滚精灵
82,24,硬壳精灵
83,25,硬壳精灵
84,165,鸟仔精灵
85,166,鸟仔精灵
86,167,芳香精灵
87,498,鸽子精灵
88,499,魔术师精灵
89,204,菇精灵
90,4,草元素精灵
91,3,草元素精灵
92,454,偷窃精灵
93,268,海螺精灵
94,269,海螺精灵
95,100,锅精灵
96,101,锅精灵
97,399,电风筝精灵
98,280,圆号精灵
99,261,蜘蛛精灵
100,350,冰冰凉精灵
101,351,冰冰凉精灵
102,352,冰冰凉精灵
103,353,冰冰凉精灵
104,354,冰冰凉精灵
105,355,冰冰凉精灵
106,356,冰冰凉精灵
107,357,冰冰凉精灵
108,358,冰冰凉精灵
109,416,科技精灵
110,415,科技精灵
111,417,科技精灵
112,13,水之灵
113,230,翼系精灵王
114,231,翼系精灵王
115,404,鼠精灵
116,405,鼠精灵
117,410,鱿鱼精灵
118,342,机械臂精灵
119,282,硬壳精灵
120,202,帽帽精灵
121,201,帽帽精灵
122,391,魔方精灵
123,271,菇精灵
124,332,钢铁精灵
125,459,骨头精灵
126,460,骨头精灵
127,420,化石精灵
128,219,兔精灵
129,79,花苞精灵
130,80,芳香精灵
131,81,芳香精灵
132,78,花苞精灵
133,302,猫老师精灵
134,338,长颈鹿精灵
135,295,流浪精灵
136,152,蜂精灵
137,506,兔兔精灵
138,421,骨头精灵
139,319,拨浪鼓精灵
140,320,拨浪鼓精灵
141,321,拨浪鼓精灵
142,494,小丑精灵
143,494,自然类精灵
144,495,小丑精灵
145,495,自然类精灵
146,493,小丑精灵
147,493,自然类精灵
148,238,炎狮精灵
149,239,炎狮精灵
150,154,猫精灵
151,424,毛绒绒精灵
152,251,小熊猫精灵
153,252,小熊猫精灵
154,146,狮精灵
155,147,狮精灵
156,44,菇精灵
157,102,轻飘飘精灵
158,187,独角精灵
159,255,蛋壳精灵
160,256,蛋壳精灵
161,413,硬壳精灵
162,209,企鹅精灵
163,462,果冻精灵
164,314,拟态精灵
165,439,星光精灵
166,335,翼龙精灵
167,168,虫仔精灵
168,485,小雪球精灵
169,343,鸟仔精灵
170,196,猫精灵
171,502,象精灵
172,67,啃啃精灵
173,227,狐仙精灵
174,262,蜘蛛精灵
175,39,长羽精灵
176,40,长羽精灵
177,41,长羽精灵
178,42,长羽精灵
179,114,食蚁兽精灵
180,182,石头精灵
181,503,象精灵
182,55,石头精灵
183,54,石头精灵
184,53,石头精灵
185,376,章鱼精灵
186,505,傀儡精灵
187,425,尖尾精灵
188,389,维修精灵
189,220,伴生精灵
190,46,菇精灵
191,65,树精灵
192,45,菇精灵
193,105,假面精灵
194,106,假面精灵
195,66,树精灵
196,66,漂浮类精灵
197,476,幽星精灵
198,333,钢铁精灵
199,188,独角精灵
200,179,轻飘飘精灵
201,200,狸精灵
202,364,龙血精灵
203,199,狸精灵
204,253,小熊猫精灵
205,254,小熊猫精灵
206,206,菇精灵
207,205,菇精灵
208,57,捣蛋鬼精灵
209,207,狼精灵
210,208,狼精灵
211,323,蜘蛛精灵
212,94,狗狗精灵
213,98,圆滚滚精灵
214,445,布丁精灵
215,309,沉默精灵
216,428,扫把精灵
217,273,猫头鹰精灵
218,274,猫头鹰精灵
219,190,拟态精灵
220,191,拟态精灵
221,549,旅者精灵
222,148,狮精灵
223,149,狮精灵
224,448,吞噬精灵
225,474,大耳朵精灵
226,473,兔精灵
227,475,大耳朵精灵
228,394,鸡仔精灵
229,71,矿石精灵
230,72,矿石精灵
231,73,矿石精灵
232,74,矿石精灵
233,75,矿石精灵
234,76,矿石精灵
235,103,假面精灵
236,104,假面精灵
237,478,暮星精灵
238,477,耀星精灵
239,361,治愈精灵
240,362,治愈精灵
241,453,圆滚滚精灵
242,156,猫精灵
243,481,马戏团精灵
244,390,魔方精灵
245,552,正义精灵
246,553,科技精灵
247,223,科技精灵
248,224,科技精灵
249,232,松羊精灵
250,233,松羊精灵
251,234,松羊精灵
252,235,松羊精灵
253,22,硬壳精灵
254,23,硬壳精灵
255,444,凝胶精灵
256,456,薪火精灵
257,403,圆滚滚精灵
258,401,种子精灵
259,402,花精灵
260,556,武术精灵
261,557,武术精灵
262,558,武术精灵
263,109,睡衣精灵
264,110,睡衣精灵
265,303,猫老师精灵
266,107,睡衣精灵
267,108,睡衣精灵
268,292,棋子精灵
269,284,棋子精灵
270,285,棋子精灵
271,290,棋子精灵
272,291,棋子精灵
273,293,棋子精灵
274,294,棋子精灵
275,286,棋子精灵
276,287,棋子精灵
277,288,棋子精灵
278,289,棋子精灵
279,446,布丁精灵
280,396,利爪精灵
281,427,毛绒绒精灵
282,59,虫仔精灵
283,301,气球精灵
284,26,硬壳精灵
285,27,硬壳精灵
286,244,水蛇精灵
287,245,水蛇精灵
288,14,水之灵
289,11,水元素精灵
290,246,水蛇精灵
291,247,水蛇精灵
292,379,兔精灵
293,334,钢铁精灵
294,339,长颈鹿精灵
295,12,水元素精灵
296,264,海螺精灵
297,265,海螺精灵
298,419,大嘴精灵
299,296,流浪精灵
300,328,珊瑚精灵
301,329,珊瑚精灵
302,330,珊瑚精灵
303,331,珊瑚精灵
304,138,刺刺精灵
305,139,刺刺精灵
306,277,海盗精灵
307,278,海盗精灵
308,266,海螺精灵
309,267,海螺精灵
310,400,鲸精灵
311,411,画笔精灵
312,248,水蛇精灵
313,249,水蛇精灵
314,325,利爪精灵
315,324,利爪精灵
316,375,火山精灵
317,9,火之灵
318,471,烈马精灵
319,7,火元素精灵
320,225,狐精灵
321,229,翼系精灵王
322,500,灯球精灵
323,500,自然类精灵
324,242,炎狮精灵
325,243,炎狮精灵
326,374,猿精灵
327,240,炎狮精灵
328,241,炎狮精灵
329,326,守护精灵
330,10,火之灵
331,497,烟花精灵
332,496,烟花精灵
333,8,火元素精灵
334,447,布丁精灵
335,457,薪火精灵
336,68,啃啃精灵
337,487,小火球精灵
338,488,大火球精灵
339,60,虫仔精灵
340,340,长颈鹿精灵
341,504,愉悦精灵
342,441,月光精灵
343,489,吼猴精灵
344,215,圆滚滚精灵
345,369,水母精灵
346,281,硬壳精灵
347,210,企鹅精灵
348,337,长颈鹿精灵
349,128,羊精灵
350,130,爆炸头精灵
351,431,画框精灵
352,430,画框精灵
353,433,守望精灵
354,432,穿梭精灵
355,443,月光精灵
356,135,睡不醒精灵
357,299,芳香精灵
358,189,独角精灵
359,259,狮鹫精灵
360,260,狮鹫精灵
361,137,睡不醒精灵
362,322,蜘蛛精灵
363,51,蜥蜴精灵
364,52,蜥蜴精灵
365,49,蜥蜴精灵
366,50,蜥蜴精灵
367,181,计重精灵
368,47,蜥蜴精灵
369,48,蜥蜴精灵
370,70,矿石精灵
371,257,狮鹫精灵
372,258,狮鹫精灵
373,180,轻飘飘精灵
374,186,遗迹精灵
375,412,画笔精灵
376,458,骨头精灵
377,455,偷窃精灵
378,392,魔方精灵
379,129,羊精灵
380,466,流星精灵
381,461,果冻精灵
382,467,信使精灵
383,155,猫精灵
384,483,不屈精灵
385,380,兔精灵
386,381,治愈精灵
387,395,绅士精灵
388,440,星光精灵
389,398,守望精灵
390,438,星光精灵
391,171,鸟仔精灵
392,97,松鼠精灵
393,162,恶作剧精灵
394,341,机械臂精灵
395,176,石头精灵
396,159,优雅精灵
397,368,水母精灵
398,336,翼龙精灵
399,366,电鳗精灵
400,346,冰冰凉精灵
401,298,芳香精灵
402,263,蜘蛛精灵
403,30,羊精灵
404,304,花精灵
405,170,蝶精灵
406,153,蜂精灵
407,313,负电精灵
408,275,鸭仔精灵
409,169,虫仔精灵
410,270,菇精灵
411,145,拟态精灵
412,449,吞噬精灵
413,468,信使精灵
414,131,轻飘飘精灵
415,132,圆滚滚精灵
416,158,天鹅精灵
417,178,轻飘飘精灵
418,192,拟态精灵
419,193,拟态精灵
420,388,维修精灵
421,371,毛绒绒精灵
422,372,毛绒绒精灵
423,370,毛绒绒精灵
424,164,智慧精灵
425,363,小鱼精灵
426,464,蒸汽精灵
427,465,蒸汽精灵
428,463,蒸汽精灵
429,113,食蚁兽精灵
430,99,圆滚滚精灵
431,123,花精灵
432,115,多肉精灵
433,116,多肉精灵
434,117,多肉精灵
435,118,多肉精灵
436,124,花精灵
437,125,花精灵
438,126,花精灵
439,127,花精灵
440,119,刺刺精灵
441,120,刺刺精灵
442,121,刺刺精灵
443,122,刺刺精灵
444,480,独轮车精灵
445,2,梦想类精灵
446,2,永远的伙伴
447,384,恶作剧精灵
448,385,恶作剧精灵
449,56,石头精灵
450,315,拟态精灵
451,300,猫精灵
452,408,大耳朵精灵
453,409,大耳朵精灵
454,406,大耳朵精灵
455,407,大耳朵精灵
456,344,鸟仔精灵
457,310,沉默精灵
458,228,翼系精灵王
459,327,里拉琴精灵
460,236,松羊精灵
461,237,松羊精灵
462,479,独轮车精灵
463,77,矿石精灵
464,29,羊精灵
465,414,硬壳精灵
466,161,锤头精灵
467,28,羊精灵
468,311,负电精灵
469,367,电鳗精灵
470,600,守护精灵
471,174,石头精灵
472,175,石头精灵
473,450,吞噬精灵
474,472,烈马精灵
475,216,守望精灵
476,213,冰冰凉精灵
477,221,伴生精灵
478,222,伴生精灵
479,486,大雪球精灵
480,218,守望精灵
481,31,鸟仔精灵
482,32,鸟仔精灵
483,33,鸟仔精灵
484,34,鸟仔精灵
485,212,冰冰凉精灵
486,211,冰冰凉精灵
487,377,章鱼精灵
488,43,长羽精灵
489,501,自然类精灵
490,501,迪斯科精灵
491,490,唱片精灵
492,95,守护精灵
493,96,守护精灵
494,194,拟态精灵
495,195,拟态精灵
496,177,轻飘飘精灵
497,429,扫把精灵
498,347,冰冰凉精灵
499,348,冰冰凉精灵
500,349,冰冰凉精灵
501,345,高脚精灵
502,6,草之灵
503,173,魔眷精灵
504,172,鸟仔精灵
505,163,恶作剧精灵
506,305,花精灵
507,21,鸭仔精灵
508,15,鸭仔精灵
509,16,鸭仔精灵
510,17,鸭仔精灵
511,18,鸭仔精灵
512,19,鸭仔精灵
513,20,鸭仔精灵
514,151,蜂精灵
515,197,猫精灵
516,198,猫精灵
517,160,优雅精灵
518,611,齿轮精灵
519,426,尖尾精灵
520,365,龙血精灵
