id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
1,001,100011,圣光迪莫,圣光迪莫,最终阶段,光,,,,97,71,71,86,86,120,531,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%9C%A3%E5%85%89%E8%BF%AA%E8%8E%AB,https://patchwiki.biligame.com/images/rocom/5/53/jker9cy8snos5r3vvn6c12adlm96s11.png,
2,001,10001,迪莫,迪莫,最终阶段,光,,最好的伙伴,造成克制伤害后，获得攻防速+20%，并回复2能量。,120,80,80,105,105,92,582,6000,80,否,迪莫,,无法进化,0.54~0.78,5.5~7,行踪有些难以捉摸,0.6,https://wiki.biligame.com/rocom/%E8%BF%AA%E8%8E%AB,https://patchwiki.biligame.com/images/rocom/2/25/o64cvcxq1l6tlur77xjqbwx2s4imabd.png,
3,002,10002,喵喵,喵喵,Ⅰ阶,草,,氧循环,使用草系技能后，回复10%生命。,65,66,66,49,91,33,370,,,否,喵喵,,,0.53~0.75,3.62~4.6,行踪有些难以捉摸,0.6,https://wiki.biligame.com/rocom/%E5%96%B5%E5%96%B5,https://patchwiki.biligame.com/images/rocom/3/34/swx8tx6o3mpyfnqrkxu1kth6sgzott2.png,
4,003,10003,喵呜,喵呜,Ⅱ阶,草,,氧循环,使用草系技能后，回复10%生命。,86,87,87,65,121,44,490,,,否,喵喵,,,0.65~0.92,14.2~15.6,行踪有些难以捉摸,0.6,https://wiki.biligame.com/rocom/%E5%96%B5%E5%91%9C,https://patchwiki.biligame.com/images/rocom/8/8d/dfnsd50cr86p61a37sanzt5jp3i022u.png,
5,004,100041,叶冕魔力猫,叶冕魔力猫,最终阶段,草,,深层氧循环,使用草系技能后，回复15%生命。,108,127,127,81,151,55,649,,,否,喵喵,,,2.4~3,246~315,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8F%B6%E5%86%95%E9%AD%94%E5%8A%9B%E7%8C%AB,https://patchwiki.biligame.com/images/rocom/2/21/bex2jmtdhmnx0b0j1b1pfcmf5imwzyv.png,
6,004,10004,魔力猫,魔力猫,最终阶段,草,,氧循环,使用草系技能后，回复10%生命。,108,109,109,81,151,55,613,,,否,喵喵,,,1.5~2.15,105~125,行踪有些难以捉摸,0.6,https://wiki.biligame.com/rocom/%E9%AD%94%E5%8A%9B%E7%8C%AB,https://patchwiki.biligame.com/images/rocom/3/33/p4l4i0xh8rzj0mosp9sgw4qjfvlbl0r.png,
7,005,10005,火花,火花,Ⅰ阶,火,,助燃,使用火系技能后，获得双攻+20%。,70,84,37,56,43,78,368,,,否,火花,,,0.53~0.71,7.6~8.5,岚语峰西侧 / 乌黑巷 / 叽叽喳喳台地 / 商店街周边 / 奥贝斯坦湖 / 学院驻地 / 岚语峰 / 挽风屏障 / 月牙湖岸 / 月牙镇 / 皇家办事处 / 聆风塔地 / 聆风镇 / 轻风山 / 风眠圣所,0.6,https://wiki.biligame.com/rocom/%E7%81%AB%E8%8A%B1,https://patchwiki.biligame.com/images/rocom/a/a1/jzel7fdbrw66zvccwcx4ekg72d66m21.png,
8,006,10006,焰火,焰火,Ⅱ阶,火,,助燃,使用火系技能后，获得双攻+20%。,93,111,49,75,58,104,490,,,否,火花,,,0.82~1.1,21~30.7,晨曦山,0.6,https://wiki.biligame.com/rocom/%E7%84%B0%E7%81%AB,https://patchwiki.biligame.com/images/rocom/b/b9/r8j0510jtxabhlyl5srx22orefxhh5g.png,
9,007,10007,火神,火神,最终阶段,火,,助燃,使用火系技能后，获得双攻+20%。,117,139,61,94,72,130,613,,,否,火花,,,1.52~2.18,90.5~110,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%81%AB%E7%A5%9E,https://patchwiki.biligame.com/images/rocom/4/4f/627a47xjvghn9okifk66vhsx4uv7101.png,
10,007,100071,烈火战神,烈火战神,最终阶段,火,,爆燃,使用火系技能后，获得双攻+30%。,117,175,84,94,72,130,672,,,否,火花,,,2.47~3.01,183~267,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E6%88%98%E7%A5%9E,https://patchwiki.biligame.com/images/rocom/6/6a/hacle5ni5exjxhg13fofbitd0i3xw00.png,
11,008,10008,水蓝蓝,水蓝蓝,Ⅰ阶,水,,浸润,使用水系技能后，全技能能耗-1。,75,35,76,56,79,51,372,,,否,水蓝蓝,,,0.45~0.65,2.85~4.205,岚语峰西侧,0.6,https://wiki.biligame.com/rocom/%E6%B0%B4%E8%93%9D%E8%93%9D,https://patchwiki.biligame.com/images/rocom/0/0b/km91vn87f93y9ukj6ir6wsc4dl8shx1.png,
12,009,10009,波波拉,波波拉,Ⅱ阶,水,,浸润,使用水系技能后，全技能能耗-1。,100,46,102,75,106,68,497,,,否,水蓝蓝,,,0.72~1.03,29.5~34,咕嘟咕嘟浅滩,0.6,https://wiki.biligame.com/rocom/%E6%B3%A2%E6%B3%A2%E6%8B%89,https://patchwiki.biligame.com/images/rocom/c/c2/63ym3z73l9k65ws69a63g8f0itajsu4.png,
13,010,100101,圣水守护,圣水守护,最终阶段,水,,浪潮,使用水系技能后，全技能能耗-2。,125,67,141,104,145,85,667,,,否,水蓝蓝,,,1.72~1.94,137~172,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E6%B0%B4%E5%AE%88%E6%8A%A4,https://patchwiki.biligame.com/images/rocom/f/f5/fzch3e2qtlrly3p0mvgoc4287dgt2gf.png,
14,010,10010,水灵,水灵,最终阶段,水,,浸润,使用水系技能后，全技能能耗-1。,125,58,127,94,132,85,621,,,否,水蓝蓝,,,1.08~1.54,77~85.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%81%B5,https://patchwiki.biligame.com/images/rocom/5/50/33by7ml0nsrsxxq1l8l2uj4izqnuwpd.png,
15,011,100112,鸭吉吉,鸭吉吉（急急急鸭）,最终阶段,普通,,挺起胸脯,携带的能耗为1的技能，威力+50%。,130,95,35,55,45,110,470,,,否,鸭吉吉（急急急鸭）,急急急鸭,,0.65~0.94,5.6~8.2,常见于山林、河岸,0.6,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E6%80%A5%E6%80%A5%E6%80%A5%E9%B8%AD%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/6f/7sidri1o3ke9cih06jlecsl5g9pqexq.png,
16,011,100115,鸭吉吉,鸭吉吉（燃了鸭）,最终阶段,普通,,挺起胸脯,携带的能耗为1的技能，威力+50%。,108,89,41,74,48,115,475,,,否,鸭吉吉（燃了鸭）,燃了鸭,,0.69~0.98,14.3~18.2,常见于山林、河岸,0.6,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%87%83%E4%BA%86%E9%B8%AD%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/36/qur3wj31ncfb3a9hw2vdvghxn494jtk.png,
17,011,100113,鸭吉吉,鸭吉吉（等一等鸭）,最终阶段,普通,,挺起胸脯,携带的能耗为1的技能，威力+50%。,137,35,94,46,57,100,469,,,否,鸭吉吉（等一等鸭）,等一等鸭,,0.65~0.94,15.8~19.2,常见于山林、河岸,0.6,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%AD%89%E4%B8%80%E7%AD%89%E9%B8%AD%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/dc/1prqafj7lzcp75byt1ttvpfoblncbrg.png,
18,011,100111,鸭吉吉,鸭吉吉（紧实的样子）,最终阶段,普通,,挺起胸脯,携带的能耗为1的技能，威力+50%。,136,35,95,45,55,105,471,,,否,鸭吉吉（紧实的样子）,紧实的样子,,0.65~0.94,5.6~8.2,银蛇河口,0.6,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%B4%A7%E5%AE%9E%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/f/fd/eewpeu21i6fzcqfcnez834gvppirdw8.png,
19,011,10011,鸭吉吉,鸭吉吉（蓬松的样子）,最终阶段,普通,,挺起胸脯,携带的能耗为1的技能，威力+50%。,136,95,35,55,45,105,471,,,否,鸭吉吉（蓬松的样子）,蓬松的样子,,0.65~0.94,14.6~17.6,叽叽喳喳台地,0.6,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%93%AC%E6%9D%BE%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/9/9b/lsgonow9dtf4nlte0094yq43stn0nrv.png,
20,011,100114,鸭吉吉,鸭吉吉（起来鸭）,最终阶段,普通,,挺起胸脯,携带的能耗为1的技能，威力+50%。,107,53,125,80,113,100,578,,,,鸭吉吉（起来鸭）,起来鸭,,0.65~0.94,15.8~19.2,果实,0.2,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%B5%B7%E6%9D%A5%E9%B8%AD%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/3c/j6agh5wzsw4sxhzzjatf0w077ff8a0t.png,
21,011,100117,鸭吉吉国王,鸭吉吉国王,最终阶段,普通,,“国王”的威严,鸭吉吉国王的种族资质大幅增加，能耗为1的技能威力+50%。,136,135,50,79,64,105,569,,,否,鸭吉吉（蓬松的样子）,,,1.65~2.07,93.7~140,常见于山林、河岸,0.6,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%E5%9B%BD%E7%8E%8B,https://patchwiki.biligame.com/images/rocom/9/95/q0mtucowyppqrj7uhrlim51von6qi83.png,
22,012,10012,板板壳,板板壳（本来的样子）,Ⅰ阶,水,,缩壳,携带的防御技能能耗-2。,67,28,72,64,81,45,357,,,否,板板壳（本来的样子）,本来的样子,,0.53~0.76,7.5~10.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E6%9D%BF%E6%9D%BF%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/05/7yi5qyeejez9yyyhya70f2fkvtwlrp2.png,
23,012,100121,板板壳,板板壳（蜕皮时的样子）,最终阶段,水,,缩壳,携带的防御技能能耗-2。,88,24,72,56,59,48,347,,,否,板板壳（蜕皮时的样子）,蜕皮时的样子,,0.53~0.76,6.8~9.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E6%9D%BF%E6%9D%BF%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/0b/f6rfoq6jnttsb3wcb4h4aiu50ublut1.png,
24,013,10013,咔咔壳,咔咔壳（本来的样子）,Ⅱ阶,水,,缩壳,携带的防御技能能耗-2。,90,37,96,85,107,60,475,,,否,板板壳（本来的样子）,本来的样子,,0.65~0.92,19.5~24.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/70/n9aqhwtf7asg5d60p6rzsxwuupsdtba.png,
25,013,100131,咔咔壳,咔咔壳（蜕皮时的样子）,最终阶段,水,,缩壳,携带的防御技能能耗-2。,117,31,96,75,79,64,462,,,否,板板壳（蜕皮时的样子）,蜕皮时的样子,,0.65~0.92,17.5~22.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/1/14/7wnrvevs8mkyphsmoz74w3nahkovtk9.png,
26,014,10014,水泡壳,水泡壳（本来的样子）,最终阶段,水,,缩壳,携带的防御技能能耗-2。,112,46,120,107,134,75,594,,,否,板板壳（本来的样子）,本来的样子,,1.23~1.75,83.5~94.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d0/0fhxxfotj2zivjel031i1w9v6ys3ts4.png,
27,014,100141,水泡壳,水泡壳（蜕皮时的样子）,最终阶段,水,,缩壳,携带的防御技能能耗-2。,146,39,121,93,98,80,577,,,否,板板壳（蜕皮时的样子）,蜕皮时的样子,,1.23~1.75,79.5~90.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/3b/q3czw9wpfsxp68fq5lf32fqcl7jxynl.png,
28,015,10015,锥尾羊,锥尾羊,Ⅰ阶,幽,,碰瓷,自己使用恶系技能后，敌方失去2能量。,67,66,29,72,49,66,349,,,否,锥尾羊,,,0.57~0.81,13.3~16.5,港口驻地,0.6,https://wiki.biligame.com/rocom/%E9%94%A5%E5%B0%BE%E7%BE%8A,https://patchwiki.biligame.com/images/rocom/0/0b/c9kn29sskgdppe1ipgd7ooyioj90dyt.png,
29,016,10016,铃兰羊,铃兰羊,Ⅱ阶,幽,,碰瓷,自己使用恶系技能后，敌方失去2能量。,89,89,39,96,65,88,466,,,否,锥尾羊,,,0.7~1.01,29~36,港口驻地,0.6,https://wiki.biligame.com/rocom/%E9%93%83%E5%85%B0%E7%BE%8A,https://patchwiki.biligame.com/images/rocom/a/af/pbgcws3qiaqvryk28q9cmer116jy71d.png,
30,017,10017,花影羚羊,花影羚羊,最终阶段,幽,恶,碰瓷,自己使用恶系技能后，敌方失去2能量。,112,111,48,120,81,110,582,,,否,锥尾羊,,,1.42~1.92,76.9~98,向日葵海岸,0.6,https://wiki.biligame.com/rocom/%E8%8A%B1%E5%BD%B1%E7%BE%9A%E7%BE%8A,https://patchwiki.biligame.com/images/rocom/b/b5/kyhqvze7bxy684o6pql6pkank91011k.png,
31,018,100182,雪绒鸟,雪绒鸟（夏天的样子）,Ⅰ阶,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,59,80,32,58,41,69,339,,,否,雪绒鸟（夏天的样子）,夏天的样子,,0.38~0.51,2.77~4.5,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/c/cb/2za5mbxfw4ix6fwzeq541zscqathivh.png,
