属性,关系,对方属性,倍率
光,造成提升,幽,2
光,造成提升,恶,2
光,造成降低,草,0.5
光,造成降低,冰,0.5
光,受到提升,草,2
光,受到提升,幽,2
光,受到降低,恶,0.5
光,受到降低,幻,0.5
冰,造成提升,草,2
冰,造成提升,地,2
冰,造成提升,龙,2
冰,造成提升,翼,2
冰,造成降低,火,0.5
冰,造成降低,冰,0.5
冰,造成降低,机械,0.5
冰,受到提升,火,2
冰,受到提升,地,2
冰,受到提升,武,2
冰,受到提升,机械,2
冰,受到降低,水,0.5
冰,受到降低,冰,0.5
冰,受到降低,光,0.5
地,造成提升,火,2
地,造成提升,冰,2
地,造成提升,电,2
地,造成提升,毒,2
地,造成降低,草,0.5
地,造成降低,武,0.5
地,受到提升,草,2
地,受到提升,水,2
地,受到提升,冰,2
地,受到提升,武,2
地,受到提升,机械,2
地,受到降低,普通,0.5
地,受到降低,火,0.5
地,受到降低,电,0.5
地,受到降低,毒,0.5
地,受到降低,翼,0.5
幻,造成提升,毒,2
幻,造成提升,武,2
幻,造成降低,光,0.5
幻,造成降低,机械,0.5
幻,造成降低,幻,0.5
幻,受到提升,虫,2
幻,受到提升,幽,2
幻,受到降低,武,0.5
幻,受到降低,幻,0.5
幽,造成提升,光,2
幽,造成提升,幽,2
幽,造成提升,幻,2
幽,造成降低,普通,0.5
幽,造成降低,恶,0.5
幽,受到提升,光,2
幽,受到提升,幽,2
幽,受到提升,恶,2
幽,受到降低,普通,0.5
幽,受到降低,毒,0.5
幽,受到降低,虫,0.5
幽,受到降低,武,0.5
恶,造成提升,毒,2
恶,造成提升,萌,2
恶,造成提升,幽,2
恶,造成降低,光,0.5
恶,造成降低,武,0.5
恶,造成降低,恶,0.5
恶,受到提升,光,2
恶,受到提升,虫,2
恶,受到提升,武,2
恶,受到提升,萌,2
恶,受到降低,幽,0.5
恶,受到降低,恶,0.5
普通,造成降低,地,0.5
普通,造成降低,幽,0.5
普通,造成降低,机械,0.5
普通,受到提升,武,2
普通,受到降低,幽,0.5
机械,造成提升,地,2
机械,造成提升,冰,2
机械,造成提升,萌,2
机械,造成降低,火,0.5
机械,造成降低,水,0.5
机械,造成降低,电,0.5
机械,造成降低,机械,0.5
机械,受到提升,火,2
机械,受到提升,水,2
机械,受到提升,武,2
机械,受到降低,普通,0.5
机械,受到降低,草,0.5
机械,受到降低,冰,0.5
机械,受到降低,龙,0.5
机械,受到降低,毒,0.5
机械,受到降低,虫,0.5
机械,受到降低,翼,0.5
机械,受到降低,萌,0.5
机械,受到降低,机械,0.5
机械,受到降低,幻,0.5
武,造成提升,普通,2
武,造成提升,地,2
武,造成提升,冰,2
武,造成提升,恶,2
武,造成提升,机械,2
武,造成降低,毒,0.5
武,造成降低,虫,0.5
武,造成降低,翼,0.5
武,造成降低,萌,0.5
武,造成降低,幽,0.5
武,造成降低,幻,0.5
武,受到提升,翼,2
武,受到提升,萌,2
武,受到提升,幻,2
武,受到降低,地,0.5
武,受到降低,虫,0.5
武,受到降低,恶,0.5
毒,造成提升,草,2
毒,造成提升,萌,2
毒,造成降低,地,0.5
毒,造成降低,毒,0.5
毒,造成降低,幽,0.5
毒,造成降低,机械,0.5
毒,受到提升,地,2
毒,受到提升,恶,2
毒,受到提升,幻,2
毒,受到降低,草,0.5
毒,受到降低,毒,0.5
毒,受到降低,虫,0.5
毒,受到降低,武,0.5
毒,受到降低,萌,0.5
水,造成提升,火,2
水,造成提升,地,2
水,造成提升,机械,2
水,造成降低,草,0.5
水,造成降低,冰,0.5
水,造成降低,龙,0.5
水,受到提升,草,2
水,受到提升,电,2
水,受到降低,火,0.5
水,受到降低,机械,0.5
火,造成提升,草,2
火,造成提升,冰,2
火,造成提升,虫,2
火,造成提升,机械,2
火,造成降低,水,0.5
火,造成降低,地,0.5
火,造成降低,龙,0.5
火,受到提升,水,2
火,受到提升,地,2
火,受到降低,草,0.5
火,受到降低,冰,0.5
火,受到降低,虫,0.5
火,受到降低,萌,0.5
火,受到降低,机械,0.5
电,造成提升,水,2
电,造成提升,翼,2
电,造成降低,草,0.5
电,造成降低,地,0.5
电,造成降低,龙,0.5
电,造成降低,电,0.5
电,受到提升,地,2
电,受到降低,电,0.5
电,受到降低,翼,0.5
电,受到降低,机械,0.5
翼,造成提升,草,2
翼,造成提升,虫,2
翼,造成提升,武,2
翼,造成降低,地,0.5
翼,造成降低,龙,0.5
翼,造成降低,电,0.5
翼,造成降低,机械,0.5
翼,受到提升,冰,2
翼,受到提升,电,2
翼,受到降低,草,0.5
翼,受到降低,虫,0.5
翼,受到降低,武,0.5
草,造成提升,水,2
草,造成提升,光,2
草,造成提升,地,2
草,造成降低,火,0.5
草,造成降低,龙,0.5
草,造成降低,毒,0.5
草,造成降低,虫,0.5
草,造成降低,翼,0.5
草,造成降低,机械,0.5
草,受到提升,火,2
