攻击属性,防御属性,倍率
光,冰,0.5
光,幽,2
光,恶,2
光,草,0.5
冰,冰,0.5
冰,地,2
冰,机械,0.5
冰,火,0.5
冰,翼,2
冰,草,2
冰,龙,2
地,冰,2
地,武,0.5
地,毒,2
地,火,2
地,电,2
地,草,0.5
幻,光,0.5
幻,幻,0.5
幻,机械,0.5
幻,武,2
幻,毒,2
幽,光,2
幽,幻,2
幽,幽,2
幽,恶,0.5
幽,普通,0.5
恶,光,0.5
恶,幽,2
恶,恶,0.5
恶,武,0.5
恶,毒,2
恶,萌,2
普通,地,0.5
普通,幽,0.5
普通,机械,0.5
机械,冰,2
机械,地,2
机械,机械,0.5
机械,水,0.5
机械,火,0.5
机械,电,0.5
机械,萌,2
武,冰,2
武,地,2
武,幻,0.5
武,幽,0.5
武,恶,2
武,普通,2
武,机械,2
武,毒,0.5
武,翼,0.5
武,萌,0.5
武,虫,0.5
毒,地,0.5
毒,幽,0.5
毒,机械,0.5
毒,毒,0.5
毒,草,2
毒,萌,2
水,冰,0.5
水,地,2
水,机械,2
水,火,2
水,草,0.5
水,龙,0.5
火,冰,2
火,地,0.5
火,机械,2
火,水,0.5
火,草,2
火,虫,2
火,龙,0.5
电,地,0.5
电,水,2
电,电,0.5
电,翼,2
电,草,0.5
电,龙,0.5
翼,地,0.5
翼,机械,0.5
翼,武,2
翼,电,0.5
翼,草,2
翼,虫,2
翼,龙,0.5
草,光,2
草,地,2
草,机械,0.5
草,毒,0.5
草,水,2
草,火,0.5
草,翼,0.5
草,虫,0.5
草,龙,0.5
萌,恶,2
萌,机械,0.5
萌,武,2
萌,毒,0.5
萌,火,0.5
萌,龙,2
虫,幻,2
虫,幽,0.5
虫,恶,2
虫,机械,0.5
虫,武,0.5
虫,毒,0.5
虫,火,0.5
虫,翼,0.5
虫,草,2
虫,萌,0.5
龙,机械,0.5
龙,龙,2
